ix_id,name,long_name,City,Country,Continent,net,fac,Cloudflare,Meta,Akamai,Microsoft,Netskope,Hurricane,Amazon,Fastly,Google,ACE CDN,TOTAL
1285,SIX Seattle (Jumbo),Seattle Internet Exchange (MTU 9000),Seattle,US,North America,66,15,0,0,0,0,0,800,0,0,0,0,800
4163,EdgeNXT,EdgeNXT Internet Exchange,Jakarta,ID,Asia Pacific,132,2,100,200,0,200,0,0,200,0,0,100,800
11,Equinix Seattle,Equinix Internet Exchange Seattle,Seattle,US,North America,35,2,100,0,0,200,0,200,250,0,40,0,790
2381,AMS-IX Lagos,AMS-IX Lagos,Lagos,NG,Africa,53,1,10,400,0,40,0,0,200,0,40,100,790
7,Equinix Palo Alto,Equinix Internet Exchange Palo Alto,Palo Alto,US,North America,69,3,100,0,0,0,0,400,200,0,40,0,740
255,Equinix Paris,Equinix Internet Exchange Paris,Paris,FR,Europe,241,8,100,200,0,200,0,200,0,0,40,0,740
2088,PhillyIX,Philadelphia Internet Exchange,Philadelphia,US,North America,28,3,100,200,200,0,100,100,40,0,0,0,740
62,CATNIX,Catalunya Neutral Internet Exchange,Barcelona,ES,Europe,52,4,10,200,100,200,100,100,0,0,20,0,730
325,Digital Realty New York,Digital Realty New York Internet Exchange,New York/New Jersey,US,North America,54,5,10,200,100,0,0,200,200,0,0,0,710
965,MegaIX Singapore,Megaport MegaIX Singapore,Singapore,SG,Asia Pacific,42,13,100,0,200,100,10,100,200,0,0,0,710
2031,Equinix Amsterdam,Equinix Internet Exchange Amsterdam,Amsterdam,NL,Europe,50,6,100,0,0,200,10,200,0,0,200,0,710
3775,DE-CIX Phoenix,,Phoenix,US,North America,36,7,10,0,100,200,100,100,200,0,0,0,710
91,MegaIX Dusseldorf,Megaport MegaIX Dusseldorf,Dusseldorf,DE,Europe,94,3,100,200,100,200,0,100,0,0,0,0,700
777,LINX NoVA,"LINX Northern Virginia, Ashburn, Reston and Manassas",Northern Virginia,US,North America,56,12,0,200,100,100,100,0,200,0,0,0,700
1214,DE-CIX Dusseldorf,,Düsseldorf,DE,Europe,207,5,100,0,200,200,100,100,0,0,0,0,700
1998,Equinix Frankfurt,Equinix Internet Exchange Frankfurt,Frankfurt,DE,Europe,80,6,100,0,0,200,0,200,0,0,200,0,700
2737,CXC Jakarta,CLOUDXCHANGE,Jakarta,ID,Asia Pacific,205,10,100,200,100,0,0,0,200,0,0,100,700
3562,1-IX UA,1-IX Internet Exchange Ukraine,"Kyiv, Odesa, Kharkiv, Dnipro, Poltava, Lviv, Uzhgorod, Uman",UA,Europe,111,12,100,400,0,0,0,100,0,0,100,0,700
4150,PIT - Argentina - Buenos Aires,,Buenos Aires,AR,South America,19,4,0,200,100,0,100,0,0,200,0,100,700
4630,ERA-IX Frankfurt,ERA-IX Frankfurt,Frankfurt,DE,Europe,77,10,100,400,0,0,0,100,0,0,0,100,700
3472,DE-CIX ASEAN,"DE-CIX ASEAN (Singapore, Malaysia, Brunei, Manila, Indonesia)",Singapore,SG,Asia Pacific,148,21,210,40,100,0,0,100,200,0,0,0,650
9,Equinix Atlanta,Equinix Internet Exchange Atlanta,Atlanta,US,North America,27,3,100,0,0,200,0,300,0,0,40,0,640
1785,Extreme IX Hyderabad,ExtremeIX Hyderabad,Hyderabad,IN,Asia Pacific,22,5,0,200,100,20,100,0,200,20,0,0,640
72,GigaPIX - LAN 1,GIGAbit Portuguese Internet eXchange - LAN 1,Lisbon,PT,Europe,56,4,100,100,100,30,100,100,0,100,0,0,630
4411,DE-CIX Jakarta,DE-CIX Jakarta,Jakarta,ID,Asia Pacific,174,6,200,200,200,0,0,30,0,0,0,0,630
326,B-IX,Balkan Internet Exchange,Sofia,BG,Europe,54,9,100,400,0,0,0,100,0,0,20,0,620
1146,ESpanix Madrid Upper LAN,Espanix Upper LAN,Madrid,ES,Europe,56,8,100,200,0,100,0,100,0,100,20,0,620
1235,MegaIX Perth,Megaport MegaIX Perth,Perth,AU,Australia,61,6,100,0,100,200,10,10,200,0,0,0,620
2167,Extreme IX Kolkata,ExtremeIX Kolkata,Kolkata,IN,Asia Pacific,26,2,0,200,100,0,100,0,200,20,0,0,620
2627,Equinix Perth,Equinix Internet Exchange Perth,Perth,AU,Australia,27,1,10,0,100,200,0,100,200,0,0,0,610
3170,DCI Indonesia DCI-IX,DCI Indonesia Internet Exchange,Bekasi,ID,Asia Pacific,57,8,10,200,100,0,0,0,200,0,0,100,610
226,Any2Chicago,CoreSite - Any2Chicago,Chicago,US,North America,16,2,0,0,0,200,0,100,200,100,0,0,600
3607,SONIX Stockholm,Sweden Open Network Internet eXchange,Stockholm,SE,Europe,80,8,100,0,100,0,0,400,0,0,0,0,600
3813,Extreme IX Bangalore,ExtremeIX Bangalore,Bangalore,IN,Asia Pacific,42,6,100,200,100,0,0,0,200,0,0,0,600
4167,MHK-IX,Maharlika Internet Exchange,Manila,PH,Asia Pacific,53,3,0,200,0,0,0,100,200,0,0,100,600
73,MegaIX Munich,Megaport MegaIX Munich,Munich,DE,Europe,37,4,100,200,100,20,0,100,0,0,20,0,540
83,NIX1,"Norwegian Internet Exchange, NIX1 (location 1)",Oslo,NO,Europe,66,4,100,0,100,20,0,100,200,0,0,0,520
209,MegaIX Berlin,Megaport MegaIX Berlin,Berlin,DE,Europe,43,5,100,200,100,20,0,100,0,0,0,0,520
291,MegaIX Hamburg,Megaport MegaIX Hamburg,Hamburg,DE,Europe,55,5,100,200,100,0,0,100,0,0,20,0,520
1842,Speed-IX,Speed Internet Exchange,Dronten,NL,Europe,271,11,100,200,0,0,0,200,0,0,20,0,520
4007,AMS-IX Hyderabad,,Hyderabad,IN,Asia Pacific,8,2,0,200,100,200,0,0,0,20,0,0,520
1175,MegaIX Los Angeles,Megaport MegaIX Los Angeles,Los Angeles,US,North America,24,14,10,0,0,100,0,400,0,0,0,0,510
1925,Equinix Milan,Equinix Internet Exchange Milan,Milan,IT,Europe,35,4,100,0,0,10,0,200,0,0,200,0,510
212,Stuttgart-IX,"Stuttgarter Internet eXchange, Stuttgart-IX",Stuttgart,DE,Europe,35,5,100,0,400,0,0,0,0,0,0,0,500
491,EPIX.Katowice,,Katowice/Silesia,PL,Europe,392,3,0,0,400,0,0,0,0,0,100,0,500
969,NAPAfrica IX Durban,NAPAfrica IX Durban,Durban,ZA,Africa,138,1,100,0,300,0,0,100,0,0,0,0,500
2102,MMIX Yangon,Myanmar Internet Exchange,Yangon,MM,Asia Pacific,46,2,0,0,400,0,0,0,0,0,0,100,500
3017,PITER-IX Moscow,PITER-IX Moscow,Moscow,RU,Europe,238,14,100,200,0,0,0,200,0,0,0,0,500
4205,GNM-IX SG,GNM Internet Exchange Singapore,Singapore,SG,Asia Pacific,16,3,100,0,100,0,0,200,0,0,0,100,500
4599,DE-CIX Houston,,Houston,US,North America,10,2,100,0,100,0,0,200,0,100,0,0,500
4820,Chile IX by PIT.net,,Santiago,CL,South America,19,3,100,100,0,0,0,100,0,200,0,0,500
4916,1-PL FREE,1-PL Internet Exchange Poland,"Warsaw, Wroclaw, Katowice",PL,Europe,24,7,100,0,0,0,0,400,0,0,0,0,500
4917,1-DE FREE,1-DE Internet Exchange Germany,Frankfurt,DE,Europe,20,6,100,0,0,0,0,400,0,0,0,0,500
4993,1-ES FREE,,Madrid,ES,Europe,16,1,100,0,0,0,0,400,0,0,0,0,500
424,SOX Serbia,Serbian Open eXchange,Belgrade/Serbia,RS,Europe,42,11,100,200,0,0,0,100,0,0,80,0,480
115,TOP-IX,Consorzio Top-IX,Turin,IT,Europe,103,8,0,200,100,40,0,100,0,0,20,0,460
235,NIXI Chennai,National Internet eXchange of India,Chennai,IN,Asia Pacific,57,7,0,20,100,200,0,0,0,40,100,0,460
82,Pacific Wave,"Pacific Wave Exchange in LA, Sunnyvale and Seattle",West Coast,US,North America,15,5,0,0,0,100,0,0,300,0,40,0,440
301,RoNIX,Romanian Internet Exchange,Bucharest,RO,Europe,38,10,100,200,0,0,0,100,0,0,40,0,440
1923,Equinix Stockholm,Equinix Internet Exchange Stockholm,Stockholm,SE,Europe,18,3,20,0,0,200,0,20,0,0,200,0,440
236,KIXP - Nairobi,Kenya Internet Exchange Point - Nairobi,Nairobi,KE,Africa,136,4,0,0,0,200,0,30,200,0,0,0,430
2628,center3 IX Jeddah,center3 Internet Exchanges powered by LINX,Jeddah,SA,Middle East,25,1,200,0,0,20,10,0,0,0,0,200,430
3212,Equinix Rio de Janeiro,Equinix Internet Exchange Rio de Janeiro,Rio de Janeiro,BR,South America,20,2,10,200,0,200,0,20,0,0,0,0,430
372,Balcan-IX,BALCAN-IX,Bucharest,RO,Europe,29,10,10,200,0,200,0,10,0,0,0,0,420
1180,MegaIX Dallas,Megaport MegaIX Dallas,Dallas,US,North America,29,29,10,200,0,100,10,100,0,0,0,0,420
2362,KIXP-Mombasa,,Mombasa,KE,Africa,40,2,0,200,100,0,0,20,0,0,100,0,420
2531,DE-CIX Lisbon,,Lisbon,PT,Europe,63,3,10,0,0,200,100,100,0,0,10,0,420
3473,DE-CIX Kuala Lumpur,,Kuala Lumpur,MY,Asia Pacific,36,7,20,40,100,10,0,30,200,20,0,0,420
3800,AMS-IX Singapore,Amsterdam Internet Exchange Singapore,Singapore,SG,Asia Pacific,13,1,100,20,100,0,0,100,0,0,0,100,420
184,UA-IX,Ukrainian Internet Exchange,Kiev,UA,Europe,152,3,100,0,100,0,0,30,0,0,180,0,410
542,Litix,Lithuanian peering center,Vilnius,LT,Europe,23,3,10,200,0,0,0,100,0,0,100,0,410
556,IX.br (PTT.br) Salvador,IX.br (PTT.br) Salvador,Salvador/BA,BR,South America,120,3,10,0,400,0,0,0,0,0,0,0,410
4653,LINX Mombasa,LINX Mombasa,Mombasa,KE,Africa,51,2,0,200,100,0,0,10,0,0,100,0,410
452,BIX Jakarta,Biznet Internet Exchange,Jakarta,ID,Asia Pacific,174,4,100,200,0,0,0,0,0,0,0,100,400
2005,BALT-IX,Baltic Internet Exchange,Vilnius,LT,Europe,63,8,100,0,0,0,0,100,0,0,200,0,400
2149,PITER-IX Saint-Petersburg,PITER-IX SPB,Saint-Petersburg,RU,Europe,245,12,100,0,100,0,0,200,0,0,0,0,400
2918,Giganet IXN Warsaw,GigaNET Warsaw local exchange,Warsaw,PL,Europe,48,9,0,0,100,0,0,0,0,0,200,100,400
3428,TRUE-IX,"True Internet Corporation Co., Ltd.",Bangkok,TH,Asia Pacific,19,6,0,0,0,0,0,0,0,0,0,400,400
3990,INTERIX,InterIX Internet Exchange,Amsterdam,NL,Europe,204,19,200,0,0,0,0,200,0,0,0,0,400
4006,FOX,Formosa Open eXchange,Tainan,TW,Asia Pacific,21,4,100,200,0,0,0,100,0,0,0,0,400
4318,MegaIX New York,Megaport MegaIX New York,New York,US,North America,21,24,0,200,0,100,0,100,0,0,0,0,400
4351,PIT AR,,Buenos Aires,AR,South America,10,2,0,200,100,0,100,0,0,0,0,0,400
4622,GraniteIX,GraniteIX - Salt Lake City,"Salt Lake City, UT",US,North America,21,9,100,200,100,0,0,0,0,0,0,0,400
4641,DE-CIX Rio de Janeiro,DE-CIX Rio de Janeiro,Rio de Janeiro,BR,South America,13,2,100,0,0,0,0,100,200,0,0,0,400
4642,DE-CIX Sao Paulo,DE-CIX Sao Paulo,Sao Paulo,BR,South America,36,3,0,0,100,0,0,100,200,0,0,0,400
4960,Chicago Open Pipes,,Chicago,US,North America,8,5,0,0,0,0,0,400,0,0,0,0,400
2589,DE-CIX Kolkata,,Kolkata,IN,Asia Pacific,18,3,0,40,20,0,0,0,200,100,0,0,360
2131,Equinix Lisbon,Equinix Internet Exchange Lisbon,Lisbon,PT,Europe,19,2,20,0,0,110,0,20,0,0,200,0,350
2145,KG-IX Bishkek,,Bishkek,KG,Europe,22,1,200,0,40,0,0,0,0,0,0,100,340
74,DE-CIX Hamburg,,Hamburg,DE,Europe,167,8,100,0,100,20,0,100,0,0,10,0,330
297,LU-CIX,Luxembourg Internet Exchange,Luxembourg,LU,Europe,84,9,10,0,200,0,0,100,0,0,20,0,330
577,AMS-IX Hong Kong,Amsterdam Internet Exchange Hong Kong,Hong Kong,HK,Asia Pacific,45,2,10,20,100,0,0,100,0,0,0,100,330
4000,AF-CIX,,Lagos,NG,Africa,40,1,0,200,0,0,10,20,0,0,0,100,330
107,MSK-IX Saint-Petersburg,MSK-IX Saint-Petersburg (former SPB-IX),St.Petersburg,RU,Europe,60,7,40,0,80,0,0,0,200,0,0,0,320
373,Equinix Toronto,Equinix Internet Exchange Toronto,Toronto,CA,North America,16,2,0,0,0,0,0,300,0,0,20,0,320
866,SH-IX,SMARTHUB Internet Exchange,Fujairah,AE,Middle East,43,1,0,0,100,10,100,0,0,100,10,0,320
2572,Digital Realty Ashburn,Digital Realty Ashburn Internet Exchange,Ashburn,US,North America,10,2,0,0,100,100,0,100,0,20,0,0,320
3190,BBIX Amsterdam,BroadBand Internet eXchange Amsterdam,Amsterdam,NL,Europe,50,2,100,0,100,0,0,100,0,0,20,0,320
2819,QIX Qatar,Qatar Internet Exchange (QIX),Doha,QA,Middle East,28,3,0,200,0,10,0,0,0,0,0,100,310
2845,Netnod Stockholm GREEN -- MTU4470,,Stockholm,SE,Europe,77,12,0,0,0,100,10,100,0,0,0,100,310
2847,Netnod Stockholm BLUE -- MTU4470,,Stockholm,SE,Europe,77,12,0,0,0,100,10,100,0,0,0,100,310
3149,IXPlay Global Peers,,Madrid,ES,Europe,61,6,100,0,0,0,0,100,0,0,110,0,310
4371,Oman-IX,Oman Internet Exchange,Muscat,OM,Middle East,10,1,0,200,0,0,10,0,0,0,0,100,310
23,NYIIX Los Angeles,New York International Internet eXchange - Los Angeles,Los Angeles,US,North America,21,2,0,0,0,0,100,200,0,0,0,0,300
916,CitraIX Yogyakarta,Citranet Internet Exchange Yogyakarta,Yogyakarta,ID,Asia Pacific,60,3,100,0,0,100,0,0,0,0,0,100,300
1088,Global-IX,GlobalNet,Amsterdam,NL,Europe,139,29,100,0,200,0,0,0,0,0,0,0,300
1308,LSIX,LayerSwitch Internet Exchange,"Amsterdam, The Hague, Rotterdam, Naaldwijk",NL,Europe,103,15,100,0,0,0,0,200,0,0,0,0,300
1577,Kolkata IX,India Internet Foundation,Kolkata,IN,Asia Pacific,29,2,0,200,100,0,0,0,0,0,0,0,300
